t=2026-05-15T11:57:40+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-15T11:57:40+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T11:57:40+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T11:57:40+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T11:57:41+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T11:57:41+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T12:22:49+0700 lvl=info msg="join connections" obj=join id=95fcd6c99c59 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:01+0700 lvl=info msg="join connections" obj=join id=ee01198d7717 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:01+0700 lvl=info msg="join connections" obj=join id=72f49fa030da l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:03+0700 lvl=info msg="join connections" obj=join id=3404eb31b4c2 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:10+0700 lvl=info msg="join connections" obj=join id=edcde51417b2 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:19+0700 lvl=info msg="join connections" obj=join id=c14f7ccdebcd l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:19+0700 lvl=info msg="join connections" obj=join id=591114072705 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:36+0700 lvl=info msg="join connections" obj=join id=dd4006d4991a l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:23:50+0700 lvl=info msg="join connections" obj=join id=f46b49602bd8 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:24:12+0700 lvl=info msg=start pg=/api/tunnels id=2c7a8d395f187421
t=2026-05-15T12:24:12+0700 lvl=info msg=end pg=/api/tunnels id=2c7a8d395f187421 status=200 dur=1.0664ms
t=2026-05-15T12:24:20+0700 lvl=info msg="join connections" obj=join id=fcfb4f6bf780 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:24:39+0700 lvl=info msg="join connections" obj=join id=1995ebcfbfc1 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:24:56+0700 lvl=info msg="join connections" obj=join id=acb3f3c911c6 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:25:14+0700 lvl=info msg="join connections" obj=join id=2585061bcbdd l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:25:21+0700 lvl=info msg="join connections" obj=join id=0c8f446853cf l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:53504
t=2026-05-15T12:25:32+0700 lvl=info msg="join connections" obj=join id=305b021fa24b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:25:32+0700 lvl=info msg="join connections" obj=join id=bb539ba6bba4 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:25:40+0700 lvl=info msg="join connections" obj=join id=350d2e89d21f l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:25:40+0700 lvl=info msg="join connections" obj=join id=3c9d5ee0b952 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:26:20+0700 lvl=info msg="join connections" obj=join id=29d6992482bd l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
